rank,file_path,label,selection_score,dataset,train_idxs,test_idx,num_ood_samples
1,MIMIC-CXR-JPG/files/p15/p15689523/s54449053/a1569a9f-580510b3-06c862ef-020407ac-af3a604a.jpg,0,0.9984288525717095,CXR_No_Finding,1-2-3-4,0,500
2,MIMIC-CXR-JPG/files/p10/p10799304/s53329364/46c8db2d-003301d7-1a0be871-1838ffd4-74500a96.jpg,1,0.9983633331175203,CXR_No_Finding,1-2-3-4,0,500
3,MIMIC-CXR-JPG/files/p19/p19742200/s58184174/98ae4385-71366b86-bf600cb0-07e2ca5c-05fa31f9.jpg,1,0.9981943652498463,CXR_No_Finding,1-2-3-4,0,500
4,MIMIC-CXR-JPG/files/p19/p19062760/s56581157/cd368a4a-5375a450-eafd513e-621d187a-0adda730.jpg,1,0.997082605464432,CXR_No_Finding,1-2-3-4,0,500
5,MIMIC-CXR-JPG/files/p14/p14928790/s55370421/1b9c238b-62da1a26-8d843248-facf57b3-e0535ddc.jpg,0,0.9968302956762299,CXR_No_Finding,1-2-3-4,0,500
6,MIMIC-CXR-JPG/files/p12/p12330994/s50867352/fd157d1d-a7ff1ce7-75b50a2b-6884f69d-46d1cc75.jpg,0,0.9968082360980802,CXR_No_Finding,1-2-3-4,0,500
7,MIMIC-CXR-JPG/files/p18/p18098371/s58664404/d6c16584-afe191cc-cef1d7ef-5d83e1a2-2d7c74eb.jpg,0,0.9967630060708906,CXR_No_Finding,1-2-3-4,0,500
8,MIMIC-CXR-JPG/files/p18/p18551091/s59917682/90b95d78-1b43bc03-befffa5b-237866e2-38bbee4f.jpg,0,0.9961996763610971,CXR_No_Finding,1-2-3-4,0,500
9,MIMIC-CXR-JPG/files/p16/p16893819/s58091692/e0c84cb6-cbee10ea-d3d7f07f-9a9f52a0-71336b14.jpg,1,0.9956983354027873,CXR_No_Finding,1-2-3-4,0,500
10,MIMIC-CXR-JPG/files/p19/p19465940/s54037946/e6bfe297-761e0d39-a38847ad-85679d74-44ee609f.jpg,0,0.9956056925387683,CXR_No_Finding,1-2-3-4,0,500
11,MIMIC-CXR-JPG/files/p15/p15269527/s58184460/2674d2a9-77a09890-afe6e655-6667b115-b2575a17.jpg,0,0.9955161363735133,CXR_No_Finding,1-2-3-4,0,500
