rank,file_path,label,selection_score,dataset,train_idxs,test_idx,num_ood_samples
1,PACS/sketch/horse/n02374451_16194-1.png,4,0.9999983109308511,PACS,0-1-2,3,3250
2,PACS/sketch/horse/n02374451_17474-6.png,4,0.999998192751783,PACS,0-1-2,3,3250
3,PACS/sketch/giraffe/n02439033_14060-4.png,2,0.9999979316741116,PACS,0-1-2,3,3250
4,PACS/sketch/guitar/n03272010_6725-5.png,3,0.9999978517988046,PACS,0-1-2,3,3250
5,PACS/sketch/guitar/n03272010_9899-5.png,3,0.9999978434218512,PACS,0-1-2,3,3250
6,PACS/sketch/giraffe/n02439033_866-4.png,2,0.999997827293085,PACS,0-1-2,3,3250
7,PACS/sketch/horse/n02374451_10809-8.png,4,0.9999977125191789,PACS,0-1-2,3,3250
8,PACS/sketch/elephant/n02503517_9043-3.png,1,0.9999975227016776,PACS,0-1-2,3,3250
9,PACS/sketch/dog/5290.png,0,0.9999975064986643,PACS,0-1-2,3,3250
10,PACS/sketch/elephant/n02503517_10440-2.png,1,0.9999972290698527,PACS,0-1-2,3,3250
11,PACS/sketch/person/12140.png,6,0.9999972243276937,PACS,0-1-2,3,3250
12,PACS/sketch/horse/n02374451_10118-4.png,4,0.9999972184369927,PACS,0-1-2,3,3250
13,PACS/sketch/elephant/n02503517_1829-2.png,1,0.9999971513960157,PACS,0-1-2,3,3250
14,PACS/sketch/guitar/n02676566_8859-6.png,3,0.9999971398241695,PACS,0-1-2,3,3250
15,PACS/sketch/horse/8558.png,4,0.9999970403915827,PACS,0-1-2,3,3250
16,PACS/sketch/house/8871.png,5,0.9999969750657098,PACS,0-1-2,3,3250
17,PACS/sketch/guitar/7671.png,3,0.999996972696367,PACS,0-1-2,3,3250
18,PACS/sketch/dog/n02106662_466-6.png,0,0.9999968912146678,PACS,0-1-2,3,3250
19,PACS/sketch/horse/n02374451_4795-4.png,4,0.9999966798827054,PACS,0-1-2,3,3250
20,PACS/sketch/elephant/n02503517_9827-4.png,1,0.9999965101824654,PACS,0-1-2,3,3250
21,PACS/sketch/dog/n02103406_3538-3.png,0,0.999996502319215,PACS,0-1-2,3,3250
22,PACS/sketch/dog/5333.png,0,0.9999964781998364,PACS,0-1-2,3,3250
23,PACS/sketch/dog/n02103406_865-2.png,0,0.9999964641765443,PACS,0-1-2,3,3250
24,PACS/sketch/guitar/n03467517_23229-5.png,3,0.9999963999397947,PACS,0-1-2,3,3250
25,PACS/sketch/elephant/n02503517_2804-1.png,1,0.9999963195089938,PACS,0-1-2,3,3250
26,PACS/sketch/guitar/n02676566_9577-6.png,3,0.9999962916330215,PACS,0-1-2,3,3250
27,PACS/sketch/dog/n02106662_10406-5.png,0,0.9999960002151098,PACS,0-1-2,3,3250
28,PACS/sketch/giraffe/n02439033_11845-1.png,2,0.9999959971547291,PACS,0-1-2,3,3250
29,PACS/sketch/horse/n02374451_9892-4.png,4,0.9999958914538165,PACS,0-1-2,3,3250
30,PACS/sketch/horse/n02374451_2846-1.png,4,0.9999958775127752,PACS,0-1-2,3,3250
31,PACS/sketch/horse/8515.png,4,0.9999958715601313,PACS,0-1-2,3,3250
32,PACS/sketch/dog/n02103406_3401-4.png,0,0.9999958669274212,PACS,0-1-2,3,3250
33,PACS/sketch/giraffe/n02439033_8875-6.png,2,0.9999958366004787,PACS,0-1-2,3,3250
34,PACS/sketch/elephant/n02503517_10193-7.png,1,0.9999958328704992,PACS,0-1-2,3,3250
35,PACS/sketch/elephant/n02503517_2993-3.png,1,0.9999958129087867,PACS,0-1-2,3,3250
36,PACS/sketch/dog/n02103406_3326-11.png,0,0.9999957676032463,PACS,0-1-2,3,3250
37,PACS/sketch/elephant/n02503517_10440-7.png,1,0.9999957119143446,PACS,0-1-2,3,3250
38,PACS/sketch/dog/n02109525_3782-3.png,0,0.9999956784021388,PACS,0-1-2,3,3250
39,PACS/sketch/giraffe/n02439033_11845-10.png,2,0.9999956503064339,PACS,0-1-2,3,3250
40,PACS/sketch/dog/n02103406_936-2.png,0,0.9999956204328788,PACS,0-1-2,3,3250
41,PACS/sketch/giraffe/n02439033_628-7.png,2,0.9999955408122781,PACS,0-1-2,3,3250
42,PACS/sketch/dog/n02103406_3299-8.png,0,0.999995538370621,PACS,0-1-2,3,3250
43,PACS/sketch/guitar/7604.png,3,0.999995537132267,PACS,0-1-2,3,3250
44,PACS/sketch/giraffe/n02439033_14497-6.png,2,0.9999955038451852,PACS,0-1-2,3,3250
45,PACS/sketch/dog/n02106662_2377-1.png,0,0.9999954842371025,PACS,0-1-2,3,3250
46,PACS/sketch/horse/n02374451_1695-4.png,4,0.9999954293988308,PACS,0-1-2,3,3250
47,PACS/sketch/giraffe/n02439033_10802-7.png,2,0.9999953936743298,PACS,0-1-2,3,3250
48,PACS/sketch/elephant/n02503517_1583-3.png,1,0.9999953579229486,PACS,0-1-2,3,3250
49,PACS/sketch/horse/n02374451_17384-2.png,4,0.9999953435572563,PACS,0-1-2,3,3250
50,PACS/sketch/dog/n02103406_6530-6.png,0,0.9999953399277832,PACS,0-1-2,3,3250
51,PACS/sketch/elephant/n02503517_5420-6.png,1,0.9999953151704408,PACS,0-1-2,3,3250
52,PACS/sketch/horse/n02374451_8744-4.png,4,0.9999953049146102,PACS,0-1-2,3,3250
53,PACS/sketch/giraffe/n02439033_12680-3.png,2,0.9999952611135454,PACS,0-1-2,3,3250
54,PACS/sketch/giraffe/n02439033_2677-1.png,2,0.9999951979040895,PACS,0-1-2,3,3250
55,PACS/sketch/guitar/n03272010_7635-4.png,3,0.9999951726638531,PACS,0-1-2,3,3250
56,PACS/sketch/horse/n02374451_1234-1.png,4,0.9999951247704927,PACS,0-1-2,3,3250
57,PACS/sketch/elephant/n02503517_8222-3.png,1,0.9999951225522443,PACS,0-1-2,3,3250
