rank,file_path,label,selection_score,dataset,train_idxs,test_idx,num_ood_samples
1,terra_incognita/location_46/bird/5a1b1304-23d2-11e8-a6a3-ec086b02610b.jpg,0,0.9999996674905975,TerraIncognita,0-1-2,3,1250
2,terra_incognita/location_46/coyote/59adfe3f-23d2-11e8-a6a3-ec086b02610b.jpg,3,0.9999996055794441,TerraIncognita,0-1-2,3,1250
3,terra_incognita/location_46/raccoon/59b131bb-23d2-11e8-a6a3-ec086b02610b.jpg,8,0.9999995113570931,TerraIncognita,0-1-2,3,1250
4,terra_incognita/location_46/raccoon/5a1fe7e3-23d2-11e8-a6a3-ec086b02610b.jpg,8,0.9999994941665745,TerraIncognita,0-1-2,3,1250
5,terra_incognita/location_46/opossum/59f798be-23d2-11e8-a6a3-ec086b02610b.jpg,6,0.9999994646286889,TerraIncognita,0-1-2,3,1250
6,terra_incognita/location_46/coyote/59ddc0df-23d2-11e8-a6a3-ec086b02610b.jpg,3,0.9999993330114983,TerraIncognita,0-1-2,3,1250
7,terra_incognita/location_46/opossum/5a015d08-23d2-11e8-a6a3-ec086b02610b.jpg,6,0.9999993241741592,TerraIncognita,0-1-2,3,1250
8,terra_incognita/location_46/rabbit/59ec54c0-23d2-11e8-a6a3-ec086b02610b.jpg,7,0.9999992283549569,TerraIncognita,0-1-2,3,1250
9,terra_incognita/location_46/coyote/597516b4-23d2-11e8-a6a3-ec086b02610b.jpg,3,0.999999013253517,TerraIncognita,0-1-2,3,1250
10,terra_incognita/location_46/bobcat/5a23124c-23d2-11e8-a6a3-ec086b02610b.jpg,1,0.9999988835779184,TerraIncognita,0-1-2,3,1250
11,terra_incognita/location_46/bobcat/599be999-23d2-11e8-a6a3-ec086b02610b.jpg,1,0.9999988094604871,TerraIncognita,0-1-2,3,1250
12,terra_incognita/location_46/rabbit/5991044a-23d2-11e8-a6a3-ec086b02610b.jpg,7,0.9999985499009163,TerraIncognita,0-1-2,3,1250
13,terra_incognita/location_46/opossum/5a1e5199-23d2-11e8-a6a3-ec086b02610b.jpg,6,0.9999983620593494,TerraIncognita,0-1-2,3,1250
14,terra_incognita/location_46/raccoon/59cb378f-23d2-11e8-a6a3-ec086b02610b.jpg,8,0.9999982843188385,TerraIncognita,0-1-2,3,1250
15,terra_incognita/location_46/empty/5a1979bb-23d2-11e8-a6a3-ec086b02610b.jpg,5,0.9999981561085318,TerraIncognita,0-1-2,3,1250
16,terra_incognita/location_46/raccoon/59973ec1-23d2-11e8-a6a3-ec086b02610b.jpg,8,0.9999978043156497,TerraIncognita,0-1-2,3,1250
17,terra_incognita/location_46/dog/59817973-23d2-11e8-a6a3-ec086b02610b.jpg,4,0.9999977068861486,TerraIncognita,0-1-2,3,1250
18,terra_incognita/location_46/opossum/597516e1-23d2-11e8-a6a3-ec086b02610b.jpg,6,0.9999976188886073,TerraIncognita,0-1-2,3,1250
19,terra_incognita/location_46/empty/59b483f8-23d2-11e8-a6a3-ec086b02610b.jpg,5,0.9999973560151203,TerraIncognita,0-1-2,3,1250
20,terra_incognita/location_46/opossum/599fbe99-23d2-11e8-a6a3-ec086b02610b.jpg,6,0.9999973072874621,TerraIncognita,0-1-2,3,1250
