rank,file_path,label,selection_score,dataset,train_idxs,test_idx,num_ood_samples
1,VLCS/LabelMe/car/2539c168200843f78d241392245249c9.jpg,1,0.9999999999986038,VLCS,0-2-3,1,100
2,VLCS/LabelMe/person/7ffabd6bfce14b00a978b6d2b364f95e.jpg,4,0.999999999998531,VLCS,0-2-3,1,100
3,VLCS/LabelMe/person/da53b56a9f514b8092fe88d699691dc6.jpg,4,0.9999999999959439,VLCS,0-2-3,1,100
4,VLCS/LabelMe/car/659c09bba50c40fa9690c2c43094f4b2.jpg,1,0.9999999999944833,VLCS,0-2-3,1,100
5,VLCS/LabelMe/person/6b998d8bc92641728332e7e790c19c77.jpg,4,0.9999999999941287,VLCS,0-2-3,1,100
6,VLCS/LabelMe/car/d6fccfe0050c43efb0fcb8dc89b42520.jpg,1,0.9999999999894629,VLCS,0-2-3,1,100
7,VLCS/LabelMe/car/a6080037f5ca455cb044a8a807c7ec8b.jpg,1,0.999999999988771,VLCS,0-2-3,1,100
8,VLCS/LabelMe/car/7a371dcc46854508823c44175225bea3.jpg,1,0.9999999999882747,VLCS,0-2-3,1,100
9,VLCS/LabelMe/car/e7be8773b65e49e1a1bf1d61a85c4011.jpg,1,0.9999999999867495,VLCS,0-2-3,1,100
10,VLCS/LabelMe/person/4dab176350494553be0039975683118b.jpg,4,0.9999999999807534,VLCS,0-2-3,1,100
11,VLCS/LabelMe/dog/c0fe614c13b84afbbd8ffaed11d9e94e.jpg,3,0.9999999999799583,VLCS,0-2-3,1,100
12,VLCS/LabelMe/person/329ba7c460d04fd0a13f50a8d925594b.jpg,4,0.9999999999797118,VLCS,0-2-3,1,100
13,VLCS/LabelMe/car/b1273970e5654b99a517350b3b6f3317.jpg,1,0.9999999999749394,VLCS,0-2-3,1,100
14,VLCS/LabelMe/person/1e2028e3539b4aceb9bb6c88c1735e06.jpg,4,0.9999999999749307,VLCS,0-2-3,1,100
15,VLCS/LabelMe/person/75789abb3c794ad6b5b808ec635ce19f.jpg,4,0.999999999972288,VLCS,0-2-3,1,100
16,VLCS/LabelMe/bird/1364e30ac52f45d9a1f7f86b127c847a.jpg,0,0.9999999999705065,VLCS,0-2-3,1,100
17,VLCS/LabelMe/person/420c5cca36454747b0908050ec630440.jpg,4,0.999999999903951,VLCS,0-2-3,1,100
18,VLCS/LabelMe/person/69798519c9d94de7a1f2ff0ddcb6e6f9.jpg,4,0.9999999998673474,VLCS,0-2-3,1,100
19,VLCS/LabelMe/car/ee908c67af1a4995868f4bf9de1ec374.jpg,1,0.9999999998395066,VLCS,0-2-3,1,100
20,VLCS/LabelMe/car/f484e02615824464b12e99a4c8300025.jpg,1,0.9999999997945241,VLCS,0-2-3,1,100
21,VLCS/LabelMe/car/1cb19b10cb234249aa593e38ee7d8bd1.jpg,1,0.9999999997658435,VLCS,0-2-3,1,100
22,VLCS/LabelMe/person/70e3130df7434b68ba851ff2696f8ba2.jpg,4,0.9999999997492264,VLCS,0-2-3,1,100
23,VLCS/LabelMe/person/d8a375caffbb48e2be5ff16fa6ca4ee8.jpg,4,0.999999999688588,VLCS,0-2-3,1,100
24,VLCS/LabelMe/person/5e7c5ab4c9ed4d038aee6f4744d0d712.jpg,4,0.999999999675844,VLCS,0-2-3,1,100
25,VLCS/LabelMe/person/c97f3eda6f154d34bcfd848bb8a82702.jpg,4,0.9999999996709923,VLCS,0-2-3,1,100
26,VLCS/LabelMe/car/9a25fa1ad8954e068369ab623b9249d9.jpg,1,0.999999999655393,VLCS,0-2-3,1,100
27,VLCS/LabelMe/car/9d1edba962db49288620d6557b65606b.jpg,1,0.9999999995647137,VLCS,0-2-3,1,100
28,VLCS/LabelMe/person/e738bcd21d92402bb55a526808f93e18.jpg,4,0.9999999995391557,VLCS,0-2-3,1,100
29,VLCS/LabelMe/car/af4fc9553319440796db052bd7cfda71.jpg,1,0.9999999994213453,VLCS,0-2-3,1,100
30,VLCS/LabelMe/person/bc45eb58e5784b6d9d712b59e1252fbf.jpg,4,0.9999999991516662,VLCS,0-2-3,1,100
