rank,file_path,label,selection_score,dataset,train_idxs,test_idx,num_ood_samples
1,sample_26310,,0.9999928807237767,WILDSCivilComments,0-1-2-3-5-6,4,10000
2,sample_33942,,0.9999886910627589,WILDSCivilComments,0-1-2-3-5-6,4,10000
3,sample_2669,,0.9999872382435658,WILDSCivilComments,0-1-2-3-5-6,4,10000
4,sample_2766,,0.9999811386342576,WILDSCivilComments,0-1-2-3-5-6,4,10000
5,sample_3351,,0.9999802345696045,WILDSCivilComments,0-1-2-3-5-6,4,10000
6,sample_42400,,0.999979431279365,WILDSCivilComments,0-1-2-3-5-6,4,10000
7,sample_27068,,0.9999782538593923,WILDSCivilComments,0-1-2-3-5-6,4,10000
8,sample_24785,,0.9999757731328643,WILDSCivilComments,0-1-2-3-5-6,4,10000
9,sample_29983,,0.9999751429556387,WILDSCivilComments,0-1-2-3-5-6,4,10000
10,sample_20765,,0.9999726243914724,WILDSCivilComments,0-1-2-3-5-6,4,10000
11,sample_39263,,0.999972501257251,WILDSCivilComments,0-1-2-3-5-6,4,10000
12,sample_33229,,0.9999698482626779,WILDSCivilComments,0-1-2-3-5-6,4,10000
13,sample_45858,,0.9999679678573987,WILDSCivilComments,0-1-2-3-5-6,4,10000
14,sample_31536,,0.9999674051487455,WILDSCivilComments,0-1-2-3-5-6,4,10000
15,sample_16604,,0.9999671728746631,WILDSCivilComments,0-1-2-3-5-6,4,10000
16,sample_25035,,0.9999671303657929,WILDSCivilComments,0-1-2-3-5-6,4,10000
17,sample_50425,,0.9999667220783074,WILDSCivilComments,0-1-2-3-5-6,4,10000
18,sample_26916,,0.9999654721002385,WILDSCivilComments,0-1-2-3-5-6,4,10000
19,sample_30243,,0.9999652141775679,WILDSCivilComments,0-1-2-3-5-6,4,10000
20,sample_13786,,0.999963216009803,WILDSCivilComments,0-1-2-3-5-6,4,10000
21,sample_46845,,0.9999631855138167,WILDSCivilComments,0-1-2-3-5-6,4,10000
22,sample_45082,,0.9999628485973137,WILDSCivilComments,0-1-2-3-5-6,4,10000
23,sample_22653,,0.9999589775798408,WILDSCivilComments,0-1-2-3-5-6,4,10000
24,sample_43399,,0.9999589462324107,WILDSCivilComments,0-1-2-3-5-6,4,10000
25,sample_28805,,0.9999587399418051,WILDSCivilComments,0-1-2-3-5-6,4,10000
26,sample_14670,,0.999958060311976,WILDSCivilComments,0-1-2-3-5-6,4,10000
27,sample_24256,,0.9999574864509791,WILDSCivilComments,0-1-2-3-5-6,4,10000
28,sample_22908,,0.9999521873535352,WILDSCivilComments,0-1-2-3-5-6,4,10000
29,sample_52303,,0.9999503792927162,WILDSCivilComments,0-1-2-3-5-6,4,10000
30,sample_49474,,0.9999500162121816,WILDSCivilComments,0-1-2-3-5-6,4,10000
31,sample_50971,,0.9999484829696577,WILDSCivilComments,0-1-2-3-5-6,4,10000
32,sample_17977,,0.9999475905341386,WILDSCivilComments,0-1-2-3-5-6,4,10000
33,sample_39202,,0.9999469993728057,WILDSCivilComments,0-1-2-3-5-6,4,10000
34,sample_45279,,0.9999460435869149,WILDSCivilComments,0-1-2-3-5-6,4,10000
35,sample_34701,,0.9999450697800886,WILDSCivilComments,0-1-2-3-5-6,4,10000
36,sample_51352,,0.9999438233377999,WILDSCivilComments,0-1-2-3-5-6,4,10000
37,sample_23822,,0.9999414796534308,WILDSCivilComments,0-1-2-3-5-6,4,10000
38,sample_12392,,0.9999413060627887,WILDSCivilComments,0-1-2-3-5-6,4,10000
39,sample_17757,,0.9999397910558904,WILDSCivilComments,0-1-2-3-5-6,4,10000
40,sample_48296,,0.9999390834083659,WILDSCivilComments,0-1-2-3-5-6,4,10000
41,sample_17525,,0.9999362208746106,WILDSCivilComments,0-1-2-3-5-6,4,10000
42,sample_8457,,0.9999361343290059,WILDSCivilComments,0-1-2-3-5-6,4,10000
43,sample_4035,,0.9999345010802966,WILDSCivilComments,0-1-2-3-5-6,4,10000
44,sample_40926,,0.9999342247984233,WILDSCivilComments,0-1-2-3-5-6,4,10000
45,sample_38075,,0.9999328239530803,WILDSCivilComments,0-1-2-3-5-6,4,10000
46,sample_52720,,0.9999326906407275,WILDSCivilComments,0-1-2-3-5-6,4,10000
47,sample_39165,,0.9999326507046421,WILDSCivilComments,0-1-2-3-5-6,4,10000
48,sample_8743,,0.9999321439999278,WILDSCivilComments,0-1-2-3-5-6,4,10000
49,sample_22606,,0.9999318551770078,WILDSCivilComments,0-1-2-3-5-6,4,10000
50,sample_31183,,0.9999317047693327,WILDSCivilComments,0-1-2-3-5-6,4,10000
51,sample_27329,,0.9999280965498366,WILDSCivilComments,0-1-2-3-5-6,4,10000
52,sample_42581,,0.9999276186989623,WILDSCivilComments,0-1-2-3-5-6,4,10000
53,sample_52578,,0.9999271592783086,WILDSCivilComments,0-1-2-3-5-6,4,10000
54,sample_663,,0.9999252881908538,WILDSCivilComments,0-1-2-3-5-6,4,10000
55,sample_17019,,0.9999235509313916,WILDSCivilComments,0-1-2-3-5-6,4,10000
56,sample_47729,,0.9999233769354781,WILDSCivilComments,0-1-2-3-5-6,4,10000
57,sample_16647,,0.9999230596775399,WILDSCivilComments,0-1-2-3-5-6,4,10000
58,sample_37301,,0.999923059530799,WILDSCivilComments,0-1-2-3-5-6,4,10000
59,sample_23895,,0.9999226150205678,WILDSCivilComments,0-1-2-3-5-6,4,10000
